V,D,num_samples,ave_time[s],std_time[s]
36,5,1,15.351149876912435,0.4883185188615083
36,5,2,26.717060327529907,0.524478746404567
36,5,4,51.013000090916954,2.6912540182784435
36,5,16,190.3101445833842,3.270376991537193
36,5,32,371.732873916626,0.20390727135566558
36,5,64,749.5563431580862,13.785973940855149
49,6,1,46.45698110262553,0.6830645817477614
49,6,2,81.92248709996541,1.5145681850436044
49,6,4,153.6701794465383,2.750744662826723
49,6,16,579.4216407140096,7.423517678568937
49,6,32,1174.144295533498,43.58506023589433
49,6,64,2395.5424892902374,72.79078678805634
64,7,1,120.21691513061523,2.7899998022171313
64,7,2,209.90223558743796,1.7867676808738124
64,7,4,400.51811750729877,0.9322069169676136
64,7,16,1504.113884528478,28.760625757278355
64,7,32,2975.669617176056,26.99113611539142
64,7,64,6152.682408014934,190.68691666820638
81,8,1,273.0197208722432,5.620906647747028
81,8,2,480.621976852417,7.816815121591173
81,8,4,893.9747758706411,17.249972472576392
81,8,16,3453.658645629883,25.249111932116413
81,8,32,6720.6510357062025,86.93291885961784
81,8,64,13761.555162509283,466.5688388346057
100,9,1,561.126950263977,12.197071716020966
100,9,2,993.5346353054047,5.718382864367038
100,9,4,1850.2691966692607,15.073529894566438
100,9,16,7216.648233731587,51.32859293773922
100,9,32,14036.07608294487,153.49134413857104
100,9,64,29410.989655892055,20.9870717020981
