Routing Method,Avg Throughput (Gbps),Max Throughput (Gbps),Min Throughput (Gbps),Std Dev (Gbps),Successful Runs,Total Runs
MD_Nexullance,93.48204266666666,194.4,19.2,50.74142980989752,45,45
Nexullance,93.49304355555556,194.4,19.2,50.62581720833951,45,45
Shortest Path,79.1147022222222,191.51864,19.2,48.55540149462527,45,45
UGAL (valiant=1),87.49428444444446,194.4,19.2,48.17732357364687,45,45
UGAL (valiant=2),89.96085155555555,194.4,19.2,48.742352336988944,45,45
UGAL (valiant=3),90.79772622222222,194.4,19.2,49.02707955633866,45,45
UGAL (valiant=4),91.31775822222221,194.4,19.2,49.261644891591935,45,45
UGAL (valiant=5),91.85741866666667,194.4,19.2,49.460472307808935,45,45
