network,bytes,num_valiant,baseline_sim_time_ms,ugal_sim_time_ms,speedup,improvement_percent
Slimfly_V32_D6,64,1,4.13315,2.44295,1.691868437749442,40.893749319526265
Slimfly_V32_D6,64,2,4.13315,2.4554,1.6832898916673453,40.592526281407636
Slimfly_V32_D6,64,3,4.13315,2.55234,1.6193571389391694,38.24709966974341
Slimfly_V32_D6,64,4,4.13315,2.50392,1.6506717467011724,39.41860324449875
Slimfly_V32_D6,64,5,4.13315,2.49532,1.6563607072439606,39.62667698970518
