V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
36,5,3,108,108,110.444,20.53531551361084,True,114.60128,17.897573232650757,True,,9.048601388931274,False,,1.037641519684184,
114,8,4,456,456,415.94448,94.41071629524231,True,462.006,124.07697916030884,True,,97.96123433113098,False,,1.1107395871679797,
264,11,6,1584,1584,1207.93256,819.0366830825806,True,1534.64408,1054.5878548622131,True,,1133.6708812713623,False,,1.2704716561328557,
510,14,7,3570,3570,2763.5728,4469.065141201019,True,3690.94512,5193.298939943314,True,,5701.85133099556,False,,1.335570070743206,
876,17,9,7884,7884,,17647.583663225174,False,,17584.962253808975,False,,17488.24335551262,False,,,
