V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
13,4,2,26,26,32.15624,20.59014391899109,True,38.19392,6.416410207748413,True,39.17672,12.631956100463867,True,,1.1877607580985838,1.2183240329093206
31,6,3,93,93,92.70232,11.029878854751587,True,125.70056,18.51030993461609,True,131.57848,32.815101861953735,True,,1.3559591604611405,1.4193655563312764
57,8,4,228,228,199.44976,28.1318142414093,True,299.11352,56.84738826751709,True,307.43504,103.8049829006195,True,,1.4996935569137813,1.5414159435438781
91,10,5,455,455,344.30696,66.32159209251404,True,566.09536,162.8637557029724,True,585.686,322.8077828884125,True,,1.6441589214461423,1.70105768410839
133,12,6,798,798,516.90832,135.814777135849,True,981.21896,388.9869511127472,True,1037.79184,812.8326976299286,True,,1.8982456308693194,2.0076903385884757
183,14,7,1281,1281,753.17608,282.6023337841034,True,1548.66856,783.1169970035553,True,1687.77344,1773.4950957298279,True,,2.05618394041404,2.240874989019832
307,18,9,2763,2763,1329.056,1177.477953195572,True,3263.248,2541.487362384796,True,3369.21992,6816.039554357529,True,,2.4553126429586114,2.535047371969277
381,20,10,3810,3810,1701.04568,2187.8746650218964,True,4471.52464,4287.009387731552,True,4541.33744,12571.597517490387,True,,2.6286916880444973,2.669732796358532
553,24,12,6636,6636,2587.13856,7220.833299875259,True,7626.4168,11605.072393655777,True,6482.29504,36120.93841290474,True,,2.9478192308339297,2.505584795582035
651,26,13,8463,8463,3129.91728,12147.594874620438,True,9585.66184,19289.364942789078,True,10090.83176,62819.8406252861,True,,3.062592708520399,3.223993114603974
757,28,14,10598,10598,,20909.426478862762,False,,19101.59225010872,False,,19113.0832529068,False,,,
