V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
36,5,3,108,108,57.00736,26.03216862678528,True,85.21512,16.351090908050537,True,95.37288,34.242899894714355,True,,1.4948090913173318,1.672992399577879
114,8,4,456,456,131.8628,44.69226956367493,True,279.14512,94.42400646209717,True,353.7156,280.982857465744,True,,2.1169360881158297,2.6824517604661815
264,11,6,1584,1584,535.97968,500.2284035682678,True,971.74728,890.4270105361938,True,1200.69768,2952.478115797043,True,,1.8130300760655702,2.2401925386425097
510,14,7,3570,3570,574.862,3287.0697684288025,True,1636.76408,4360.44756269455,True,2131.17032,16708.21133995056,True,,2.8472295611816403,3.7072729107159637
876,17,9,7884,7884,,21341.742686748505,False,,19384.384814739227,False,,17861.098717927933,False,,,
