V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
36,5,3,108,108,110.444,31.07358407974243,True,114.60128,17.561060190200806,True,138.1908,38.9022319316864,True,,1.037641519684184,1.2512295824128064
114,8,4,456,456,415.94448,94.19088077545166,True,462.006,125.2916944026947,True,564.22496,344.7881610393524,True,,1.1107395871679797,1.3564910393810252
264,11,6,1584,1584,1207.93256,810.2177345752716,True,1534.64408,1057.1143097877502,True,1709.77504,3427.316840648651,True,,1.2704716561328557,1.4154557105406613
510,14,7,3570,3570,2763.5728,4533.970080137253,True,3690.94512,5230.626645326614,True,4095.23336,18919.716271162033,True,,1.335570070743206,1.481861943351013
876,17,9,7884,7884,,17532.026485919952,False,,17857.07998251915,False,,17737.61216402054,False,,,
