V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
13,4,2,26,26,41.60048,20.247247219085693,True,41.60064,6.058051824569702,True,41.60032,11.912445783615112,True,,1.000003846109468,0.9999961538905322
31,6,3,93,93,148.80464,13.85666799545288,True,148.80448,17.016743898391724,True,148.80096,30.01856541633606,True,,0.9999989247647116,0.9999752695883677
57,8,4,228,228,364.8028,40.739441871643066,True,364.80896,49.51982140541077,True,364.80256,100.13750052452087,True,,1.0000168858353062,0.9999993421103128
91,10,5,455,455,728.01112,111.63051438331604,True,728.01064,144.34522104263306,True,728.01088,301.2053406238556,True,,0.9999993406694117,0.9999996703347059
133,12,6,798,798,1276.82056,286.32707619667053,True,1276.82144,351.9949040412903,True,1276.82016,812.1130931377411,True,,1.0000006892119595,0.9999996867218367
183,14,7,1281,1281,2049.63216,604.5534572601318,True,2049.6452,720.2107288837433,True,2049.63032,1835.5671210289001,True,,1.0000063621171906,0.9999991022779424
307,18,9,2763,2763,4420.89456,2098.759547472,True,4420.87288,2386.2234036922455,True,4420.8964,7240.827251195908,True,,0.9999950960151378,1.0000004162053573
381,20,10,3810,3810,6096.0992,3636.1876533031464,True,6096.13552,4048.896382331848,True,6096.10176,13168.932396173477,True,,1.0000059579082965,1.000000419940673
553,24,12,6636,6636,10617.66968,10072.19822883606,True,10617.7268,11089.114981889725,True,10617.6712,38186.36880469322,True,,1.00000537971153,1.0000001431575898
651,26,13,8463,8463,13541.00288,16610.025643587112,True,13541.00096,18014.08924126625,True,13540.99552,63838.1528339386,True,,0.9999998582084342,0.9999994564656647
757,28,14,10598,10598,,18176.875629901886,False,,18772.566493034363,False,,18724.96247768402,False,,,
