Offered Load,Average Latency (ns)
0.05,157.28
0.1,157.206
0.15,157.94
0.2,151.448
0.25,156.379
0.3,157.366
0.35,149.806
0.4,150.328
0.45,337.356
0.5,886.825
0.55,1692.6000000000001
0.6,2238.39
0.65,2654.3
0.7,2968.62
0.75,3293.8900000000003
0.8,3731.97
0.85,4135.5
0.9,4434.09
0.95,4629.05
1.0,5157.58
