Offered Load,Average Latency (ns)
0.05,313.403
0.1,314.223
0.15,309.559
0.2,3184.34
0.25,12872.0
0.3,16978.7
0.35,33473.2
0.4,53522.6
0.45,70079.40000000001
0.5,85356.7
0.55,98864.5
0.6,111522.0
0.65,122405.0
0.7,135330.0
0.75,142197.0
0.8,149449.0
0.85,157849.0
0.9,161383.0
0.95,169883.0
1.0,175227.0
