Offered Load,Average Latency (ns)
0.05,240.956
0.1,239.761
0.15,238.307
0.2,241.759
0.25,236.785
0.3,235.748
0.35,231.716
0.4,239.233
0.45,241.112
0.5,231.199
0.55,238.017
0.6,243.719
0.65,249.412
0.7,253.088
0.75,261.331
0.8,274.366
0.85,297.355
0.9,337.562
0.95,434.975
1.0,2005.9
