Offered Load,Average Latency (ns)
0.05,311.259
0.1,309.593
0.15,304.303
0.2,4688.28
0.25,19683.800000000003
0.3,40578.899999999994
0.35,48061.3
0.4,60397.0
0.45,64627.899999999994
0.5,74500.5
0.55,84984.3
0.6,98625.8
0.65,104301.0
0.7,110557.0
0.75,118040.0
0.8,117908.0
0.85,125635.0
0.9,133325.0
0.95,144638.0
1.0,148200.0
