Offered Load,Average Latency (ns)
0.05,392.017
0.1,392.943
0.15,387.397
0.2,394.829
0.25,391.904
0.3,400.364
0.35,417.159
0.4,503.501
0.45,12341.0
0.5,38147.399999999994
0.55,55115.6
0.6,64236.2
0.65,71057.90000000001
0.7,78083.0
0.75,82481.4
0.8,89822.5
0.85,94270.5
0.9,103070.0
0.95,111204.0
1.0,120664.0
