Offered Load,Average Latency (ns)
0.05,176.621
0.1,176.593
0.15,177.309
0.2,171.209
0.25,175.546
0.3,176.892
0.35,169.427
0.4,170.21
0.45,171.179
0.5,167.023
0.55,170.578
0.6,165.359
0.65,168.327
0.7,166.621
0.75,164.79
0.8,167.864
0.85,169.938
0.9,175.778
0.95,180.989
1.0,431.476
