network,nx,num_valiant,baseline_sim_time_ms,ugal_sim_time_ms,speedup,improvement_percent
RRG_V36_D5,256,1,6.94032,5.57713,1.244424999955174,19.641601539986624
RRG_V36_D5,256,2,6.94032,5.45516,1.2722486599843084,21.399013301980307
RRG_V36_D5,256,3,6.94032,5.36624,1.2933301529562597,22.680222237591344
RRG_V36_D5,256,4,6.94032,5.34764,1.2978285748479703,22.94822140765843
RRG_V36_D5,256,5,6.94032,5.3504,1.2971590909090909,22.90845378887429
