nx,samples,sampling_interval_us,ave_message_lat_us,traffic_scaling_factor,predicted_obj_func_ECMP_ASP,predicted_obj_func_MD_MP_APST4,benchtime[us],speedup
256,1,7826.198,12.99307301423815,15.498853117306533,6.828717415799446,,5206.82,1.049024164461226
256,2,3913.099,12.99307301423815,15.422672295744073,6.796836921299651,,5275.89,1.0352907281994128
256,4,1956.5495,12.99307301423815,13.64927061366216,5.871055003026992,,4812.14,1.1350625709143956
256,8,978.27475,12.99307301423815,12.684889263633735,3.9927599612934666,,4049.5099999999998,1.3488249195581687
256,16,489.137375,12.99307301423815,11.511183306653129,3.1576385173156347,,3782.4300000000003,1.4440663806071756
256,32,244.5686875,12.99307301423815,10.597853466703496,2.964192459796576,,3549.95,1.538635755433175
256,64,122.28434375,12.99307301423815,9.16527459469564,2.4783166735320292,,3495.56,1.5625765256496813
256,128,61.142171875,12.99307301423815,7.866429845344423,0.1972484285653636,0.20354318610381572,3589.74,1.5215809501523787
512,1,64343.278,59.23469389203571,16.046191537277608,6.825706756486191,12.857655002024384,43379.9,0.8252623911074022
512,2,32171.639,59.23469389203571,16.019441228640527,6.814327747164121,12.853332993666882,43778.799999999996,0.8177428344312773
512,4,16085.8195,59.23469389203571,14.038698977420083,5.895564032231982,12.306560026049933,39592.0,0.9042180238432005
512,8,8042.90975,59.23469389203571,13.221844128961312,4.394305136855835,8.611318120491168,32715.800000000003,1.0942663789361713
512,16,4021.454875,59.23469389203571,12.000163951115535,3.72984903857386,6.515457244754945,29530.899999999998,1.2122827275836496
512,32,2010.7274375,59.23469389203571,11.078208528641335,3.362425171215166,5.406076300551884,27459.3,1.303740444949434
512,64,1005.36371875,59.23469389203571,10.328667009477671,2.8608648874511577,4.030895412296926,26402.6,1.3559194927772265
512,128,502.681859375,59.23469389203571,9.275199040049602,1.3185952509319738,1.5011448360657322,29036.899999999998,1.232907094076847
1024,1,596846.142,121.25087694486557,18.67501285805183,6.834546059369854,12.85898593343777,405024.0,0.7734134273524532
1024,2,298423.071,121.25087694486557,18.670900663712807,6.8330411082492235,12.85867708029612,390773.0,0.8016188426528956
1024,4,149211.5355,121.25087694486557,16.49308720926982,5.915843316636298,12.421902110032427,349995.0,0.8950156430806154
1024,8,74605.76775,121.25087694486557,14.66642227958917,3.722295340033773,6.1609553271516075,318793.0,0.982615678512389
1024,16,37302.883875,121.25087694486557,13.037360199852705,2.907426957239835,4.074779125868846,292989.0,1.0691561799248437
1024,32,18651.4419375,121.25087694486557,12.132585547012361,2.573512615613536,3.3462900211191964,250420.0,1.2509024838271703
1024,64,9325.72096875,121.25087694486557,11.49397046938762,2.2824922212096697,2.747718860066132,267547.0,1.1708260604678804
1024,128,4662.860484375,121.25087694486557,10.963253888461958,1.0644774731106925,1.1350127287965557,280806.0,1.1155424029401082
