nx,samples,sampling_interval_us,ave_message_lat_us,traffic_scaling_factor,predicted_obj_func_ECMP_ASP,predicted_obj_func_MD_IT,benchtime[us],speedup
256,1,645.686,2.913379839786382,24.381811157726162,3.7665854318981866,,1427.2800000000002,1.1967448573510453
256,2,322.843,2.913379839786382,24.057122495857126,3.715940303725192,,1460.28,1.169700331443285
256,4,161.4215,2.913379839786382,23.809561809959632,3.6771452530487503,,1485.33,1.1499734065830491
256,8,80.71075,2.913379839786382,22.925060817791252,3.4953258329842143,,1488.34,1.1476477149038529
256,16,40.355375,2.913379839786382,20.213302127656355,2.844366821023799,,1585.54,1.0772922789712023
256,32,20.1776875,2.913379839786382,13.98367595486963,1.4235196811596817,,1593.1100000000001,1.0721732962570067
256,64,10.08884375,2.913379839786382,10.214556275816795,0.8860317435559063,,1625.28,1.050951220712739
256,128,5.044421875,2.913379839786382,7.684282028141687,0.5860161091781826,,1551.0600000000002,1.1012404420202957
512,1,1109.126,5.353197065621545,21.19095500675516,3.7665854318981857,,2552.3199999999997,1.2014480942828487
512,2,554.563,5.353197065621545,20.789864446075057,3.693908721965614,,2642.31,1.1605299908035016
512,4,277.2815,5.353197065621545,20.518299070988242,3.64195276275418,,2613.4,1.173368026325859
512,8,138.64075,5.353197065621545,19.866440314516197,3.496177330436529,,2628.81,1.1664897805470917
512,16,69.320375,5.353197065621545,17.953674804213655,2.9375233980064923,,2776.09,1.1046039573644946
512,32,34.6601875,5.353197065621545,12.045080725619874,1.4896093252706863,,2782.52,1.1020513778876702
512,64,17.33009375,5.353197065621545,8.856022255139964,0.9433910708910268,,2869.58,1.0686163131886897
512,128,8.665046875,5.353197065621545,6.625917750179717,0.612140723332127,,2806.25,1.092732293986637
1024,1,2064.654,10.12317271394539,19.84209760857911,3.7665854318981866,,4777.72,1.2395410363102066
1024,2,1032.327,10.12317271394539,19.528558706038606,3.7072482940542946,,5110.0599999999995,1.1589257268994886
1024,4,516.1635,10.12317271394539,19.151706487406482,3.6327494344485403,,4839.78,1.2236465293876995
1024,8,258.08175,10.12317271394539,19.032387951889856,3.5970571933477316,,4994.919999999999,1.1856406108606348
1024,16,129.040875,10.12317271394539,16.88245841300529,3.001530281278708,,5247.59,1.12855234498122
1024,32,64.5204375,10.12317271394539,11.375489210790795,1.5845340196479194,,5392.400000000001,1.098245679103924
1024,64,32.26021875,10.12317271394539,8.280003293935355,0.9784591498899935,,5755.28,1.0289994578891037
1024,128,16.130109375,10.12317271394539,6.385951943650065,0.6908753475260686,,5819.77,1.0175969153420152
2048,1,5416.038,10.788556100512345,26.038503638256977,3.7665854318981857,,11594.8,1.2477231172594612
2048,2,2708.019,10.788556100512345,25.881835816670964,3.7417813914612066,,11956.6,1.209967716574946
2048,4,1354.0095,10.788556100512345,24.990355235613116,3.6108233908882568,,11665.0,1.2402143163309045
2048,8,677.00475,10.788556100512345,24.386340584713444,3.513502816601018,,11774.699999999999,1.2286597535393684
2048,16,338.502375,10.788556100512345,22.826428280014326,3.059724956315671,,11963.2,1.209300187240872
2048,32,169.2511875,10.788556100512345,15.169662315319405,1.4391986452513854,2.06740403175354,12006.8,1.2049088849651866
2048,64,84.62559375,10.788556100512345,11.085613881969806,0.8401344770290565,1.034679889678955,12223.0,1.183596498404647
2048,128,42.312796875,10.788556100512345,8.517805446611723,0.6040262436632315,0.6928079724311829,12583.0,1.149733767781928
