nx,samples,sampling_interval_us,ave_message_lat_us,traffic_scaling_factor,predicted_obj_func_ECMP_ASP,predicted_obj_func_MD_MP_APST4,benchtime[us],speedup
1,1,470.622,0.28555710681726965,108.84022775348208,8.24529098928279,11.120784173054576,3234.2200000000003,0.8925212261379869
1,2,235.311,0.28555710681726965,92.92421040123818,7.033457765940566,11.011705499420293,3112.59,0.927398083268275
1,4,117.6555,0.28555710681726965,76.99322036227692,5.793792778411524,10.779137442752782,2829.7400000000002,1.020097252751136
1,8,58.82775,0.28555710681726965,61.51594470861731,4.628317201086643,10.231634154551207,2694.3199999999997,1.0713686570266339
1,16,29.413875,0.28555710681726965,48.04649403916718,3.5942822659615943,9.695082263149319,2431.76,1.187045596604928
1,32,14.7069375,0.28555710681726965,40.79963874173115,3.0341223569603217,8.38079004924306,2405.27,1.200118905569853
1,64,7.35346875,0.28555710681726965,34.89583012219555,2.520227266611927,6.84356528126062,2502.43,1.1535227758618625
1,128,3.676734375,0.28555710681726965,29.816497363426972,2.0459951935331717,4.697875083265209,2535.7,1.1383878219032222
8,1,470.622,0.28555710681726965,94.5497944767831,8.24614069095466,11.120271469307315,3424.2200000000003,0.8429978214016622
8,2,235.311,0.28555710681726965,80.66658438582118,7.028585567183833,11.01109960203249,3057.5299999999997,0.9440986678789743
8,4,117.6555,0.28555710681726965,66.83161500478239,5.789031648879201,10.780241421244737,2923.09,0.9875200558313292
8,8,58.82775,0.28555710681726965,53.42999028691596,4.628366884197728,10.231952931544013,2791.9700000000003,1.033897212362597
8,16,29.413875,0.28555710681726965,41.70073067550357,3.5901725272635625,9.695205341470034,2456.1600000000003,1.1752532408312162
8,32,14.7069375,0.28555710681726965,35.43405838706557,3.0343544670513807,8.319723217026295,2441.2400000000002,1.1824359751601645
8,64,7.35346875,0.28555710681726965,30.308763094750088,2.520723948701677,6.812291337668204,2483.81,1.1621702143078578
8,128,3.676734375,0.28555710681726965,25.901551862897424,2.046094215621487,4.683892807688483,2499.16,1.1550320907825031
64,1,450.958,0.35556772356325134,44.18657707074018,8.249020697716073,11.118534831430999,6106.21,0.8606910014558949
64,2,225.479,0.35556772356325134,37.661351268737306,7.019927352042325,11.0059792615509,6056.48,0.8677581697619741
64,4,112.7395,0.35556772356325134,30.1989811824908,5.599293900993551,10.812223568284011,5484.28,0.9582953459706653
64,8,56.36975,0.35556772356325134,25.05033075742001,4.643779028065667,10.250001582792969,4843.24,1.0851330927230534
64,16,28.184875,0.35556772356325134,19.718286211505493,3.6540444528700653,9.751504655577712,3774.68,1.3923193489249421
64,32,14.0924375,0.35556772356325134,16.85535718645603,3.0679329035765304,7.879693331713065,3119.46,1.6847659530816232
64,64,7.04621875,0.35556772356325134,14.889083920241061,2.6853817458344196,6.843781049332154,3093.56,1.698871203403199
64,128,3.523109375,0.35556772356325134,12.997108149631849,2.1142860319913144,4.481401388218014,3250.6400000000003,1.6167770039130755
