nx,samples,sampling_interval_us,ave_message_lat_us,traffic_scaling_factor,predicted_obj_func_ECMP_ASP,predicted_obj_func_MD_MP_APST4,benchtime[us],speedup
256,1,645.686,2.913379839786382,24.381811157726162,3.7665854318981866,,1472.33,1.1601271454089777
256,2,322.843,2.913379839786382,24.057122495857126,3.715940303725192,,1446.3200000000002,1.1809903755738702
256,4,161.4215,2.913379839786382,23.809561809959632,3.6771452530487503,,1406.05,1.2148145514028663
256,8,80.71075,2.913379839786382,22.925060817791252,3.4953258329842143,,1380.6799999999998,1.2371367731842282
256,16,40.355375,2.913379839786382,20.213302127656355,2.844366821023799,,1381.56,1.2363487651640177
256,32,20.1776875,2.913379839786382,13.98367595486963,1.4235196811596817,,1425.4,1.1983232776764416
256,64,10.08884375,2.913379839786382,10.214556275816795,0.8860317435559063,,1652.11,1.033883942352507
256,128,5.044421875,2.913379839786382,7.684282028141687,0.5860161091781826,,1760.8,0.9700647432985008
512,1,1109.126,5.353197065621545,21.19095500675516,3.7665854318981857,,2630.56,1.1657137643695639
512,2,554.563,5.353197065621545,20.789864446075057,3.693908721965614,,2664.73,1.150765743621305
512,4,277.2815,5.353197065621545,20.518299070988242,3.64195276275418,,2547.87,1.203546491775483
512,8,138.64075,5.353197065621545,19.866440314516197,3.496177330436529,,2533.83,1.2102153656717303
512,16,69.320375,5.353197065621545,17.953674804213655,2.9375233980064923,,2478.18,1.2373919570007021
512,32,34.6601875,5.353197065621545,12.045080725619874,1.4896093252706863,,2693.1699999999996,1.1386136040428196
512,64,17.33009375,5.353197065621545,8.856022255139964,0.9433910708910268,,3034.48,1.0105454641322402
512,128,8.665046875,5.353197065621545,6.625917750179717,0.612140723332127,,3369.8199999999997,0.909983322551353
1024,1,2064.654,10.12317271394539,19.84209760857911,3.7665854318981866,,5084.42,1.1647700229328026
1024,2,1032.327,10.12317271394539,19.528558706038606,3.7072482940542946,,4957.47,1.1945972441588149
1024,4,516.1635,10.12317271394539,19.151706487406482,3.6327494344485403,,4832.24,1.2255558498750063
1024,8,258.08175,10.12317271394539,19.032387951889856,3.5970571933477316,,4967.780000000001,1.1921180084464287
1024,16,129.040875,10.12317271394539,16.88245841300529,3.001530281278708,,4704.7,1.2587795183539865
1024,32,64.5204375,10.12317271394539,11.375489210790795,1.5845340196479194,,4958.84,1.1942672076534029
1024,64,32.26021875,10.12317271394539,8.280003293935355,0.9784591498899935,,5780.84,1.0244497339486995
1024,128,16.130109375,10.12317271394539,6.385951943650065,0.6908753475260686,,6089.13,0.9725822900808491
2048,1,5416.038,10.788556100512345,26.038503638256977,3.7665854318981857,9.477397050457311,12232.900000000001,1.1826386220765313
2048,2,2708.019,10.788556100512345,25.881835816670964,3.7417813914612066,9.169004127042173,12351.4,1.1712923231374581
2048,4,1354.0095,10.788556100512345,24.990355235613116,3.6108233908882568,8.722890071629434,11967.800000000001,1.2088353749227092
2048,8,677.00475,10.788556100512345,24.386340584713444,3.513502816601018,7.390848142247803,11619.9,1.2450279262300021
2048,16,338.502375,10.788556100512345,22.826428280014326,3.059724956315671,5.726728845795928,11378.199999999999,1.2714752772846323
2048,32,169.2511875,10.788556100512345,15.169662315319405,1.4391986452513854,2.110692741210595,11540.6,1.2535830026168484
2048,64,84.62559375,10.788556100512345,11.085613881969806,0.8401344770290565,1.0376094685176003,12855.1,1.1253977020793304
2048,128,42.312796875,10.788556100512345,8.517805446611723,0.6040262436632315,0.6791594839413165,14006.1,1.0329142302282577
