nx,samples,sampling_interval_us,ave_message_lat_us,traffic_scaling_factor,predicted_obj_func_ECMP_ASP,predicted_obj_func_MD_IT,benchtime[us],speedup
1,1,470.622,0.28555710681726965,108.84022775348208,8.24529098928279,9.825454711914062,2806.21,1.0286507424604716
1,2,235.311,0.28555710681726965,92.92421040123818,7.033457765940566,9.834485054016113,2683.23,1.0757967076993027
1,4,117.6555,0.28555710681726965,76.99322036227692,5.793792778411524,9.56572151184082,2638.65,1.0939722964394671
1,8,58.82775,0.28555710681726965,61.51594470861731,4.628317201086643,8.808854103088379,2580.55,1.1186026234717406
1,16,29.413875,0.28555710681726965,48.04649403916718,3.5942822659615943,8.023639678955078,2574.8700000000003,1.1210701899513373
1,32,14.7069375,0.28555710681726965,40.79963874173115,3.0341223569603217,6.6032395362854,2480.36,1.1637867083810414
1,64,7.35346875,0.28555710681726965,34.89583012219555,2.520227266611927,5.3829874992370605,2526.64,1.1424698413703576
1,128,3.676734375,0.28555710681726965,29.816497363426972,2.0459951935331717,3.992074966430664,2644.6,1.0915110035544129
8,1,470.622,0.28555710681726965,94.5497944767831,8.24614069095466,9.789127349853516,2790.12,1.0345827419609193
8,2,235.311,0.28555710681726965,80.66658438582118,7.028585567183833,9.773550987243652,2656.19,1.086748312432469
8,4,117.6555,0.28555710681726965,66.83161500478239,5.789031648879201,9.53042984008789,2564.08,1.1257878069327012
8,8,58.82775,0.28555710681726965,53.42999028691596,4.628366884197728,8.794215202331543,2683.23,1.0757967076993027
8,16,29.413875,0.28555710681726965,41.70073067550357,3.5901725272635625,8.005556106567383,2463.44,1.1717801123631995
8,32,14.7069375,0.28555710681726965,35.43405838706557,3.0343544670513807,6.634281635284424,2485.44,1.1614080404274494
8,64,7.35346875,0.28555710681726965,30.308763094750088,2.520723948701677,5.371687412261963,2567.66,1.1242181597251975
8,128,3.676734375,0.28555710681726965,25.901551862897424,2.046094215621487,3.981598138809204,2620.0,1.1017595419847328
64,1,450.958,0.35556772356325134,44.18657707074018,8.249020697716073,9.785370826721191,5165.16,1.0175018779669944
64,2,225.479,0.35556772356325134,37.661351268737306,7.019927352042325,9.712834358215332,4974.160000000001,1.0565723659874229
64,4,112.7395,0.35556772356325134,30.1989811824908,5.599293900993551,9.530306816101074,4680.91,1.1227645906458361
64,8,56.36975,0.35556772356325134,25.05033075742001,4.643779028065667,8.86263370513916,4333.1,1.2128868477533405
64,16,28.184875,0.35556772356325134,19.718286211505493,3.6540444528700653,7.96634578704834,3957.32,1.3280604045161877
64,32,14.0924375,0.35556772356325134,16.85535718645603,3.0679329035765304,6.652503490447998,3496.19,1.5032249391480441
64,64,7.04621875,0.35556772356325134,14.889083920241061,2.6853817458344196,5.588311195373535,3387.3700000000003,1.551516368155826
64,128,3.523109375,0.35556772356325134,12.997108149631849,2.1142860319913144,4.28749942779541,3578.52,1.4686406670914234
