network,count,num_valiant,baseline_sim_time_ms,ugal_sim_time_ms,speedup,improvement_percent
DDF_V36_D5,256,1,2.74909,2.25716,1.217942015630261,17.894285017951393
DDF_V36_D5,256,2,2.74909,2.1652,1.269670238315167,21.239391944243362
DDF_V36_D5,256,3,2.74909,2.14002,1.2846094896309381,22.155331400572557
DDF_V36_D5,256,4,2.74909,2.15609,1.2750349011404905,21.570774328959764
DDF_V36_D5,256,5,2.74909,2.1264,1.2928376598946576,22.65076807234394
