network,bytes,num_valiant,baseline_sim_time_ms,ugal_sim_time_ms,speedup,improvement_percent
DDF_V36_D5,64,1,8.52441,5.48192,1.5550044509952718,35.691502403098866
DDF_V36_D5,64,2,8.52441,4.90701,1.7371902645399133,42.43578147930473
DDF_V36_D5,64,3,8.52441,4.71964,1.8061568255205904,44.63382216481844
DDF_V36_D5,64,4,8.52441,4.65566,1.8309777775868512,45.38437264279874
DDF_V36_D5,64,5,8.52441,4.77319,1.7858937104954968,44.005626195830565
